"scientificName_final","decimalLatitude","decimalLongitude","Order","Annualroadkillrate_corrected","adult_mass_g","max_longevity_d","age_first_reproduction_d","litter_size_n","litters_per_year_n","dispersal_km","density_n_km2","home_range_km2","dphy_invertebrate","dphy_plant","det_vend","det_vect","det_scav","det_diet_breadth_n","altitude_breadth_m","EQ","habitat_Forest","habitat_Savanna","habitat_Shrubland","habitat_Grassland","habitat_Wetlands","habitat_Desert","habitat_Artificial_Terrestrial","n_habitats","human_footprint","log_roadkill","roadkill_category"
"Apodemus sylvaticus",40.9053,-3.8776,"Rodentia",1.265051401,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,43.6578025817871,0.235112754555558,"High"
"Apodemus sylvaticus",49.86098,17.00688,"Rodentia",1.692502051,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,23.1265468597412,0.526207937620398,"High"
"Apodemus sylvaticus",36.9833,-6.4333,"Rodentia",0.158915618,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,4.5100212097168,-1.83938192203785,"High"
"Apodemus sylvaticus",38.54,-8.22583333,"Rodentia",3.35083725,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,15.662034034729,1.20921023998397,"High"
"Apodemus sylvaticus",38.6475,-0.54611111,"Rodentia",0.335917313,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,20.0352897644043,-1.09089024156651,"High"
"Arvicola amphibius",49.86098,17.00688,"Rodentia",0.307727646,108.75,1825,365,5.08,3.22,0.313,57067.85,0.926429933333331,0,100,0,0,0,2,3210,0.590547715805081,"1","0","0","1","1","0","1",5,23.1265468597412,-1.17854015343634,"High"
"Arvicola amphibius",42.163377,24.528585,"Rodentia",0.561228857,108.75,1825,365,5.08,3.22,0.313,57067.85,0.926429933333331,0,100,0,0,0,2,3210,0.590547715805081,"1","0","0","1","1","0","1",5,30.6003303527832,-0.577626511904741,"High"
"Arvicola sapidus",38.54,-8.22583333,"Rodentia",0.026806698,120,1825,72.828,5.04,3.21,0.33,11738.9126649667,0.00519033333333331,0,100,0,0,0,2,2300,0.517521845817324,"0","0","0","0","1","0","0",1,15.662034034729,-3.61910349731833,"Medium"
"Atelerix algirus",28.3617,-16.7186,"Eulipotyphla",3.493798546,824.49,2555,317.900619333333,3.75,2,0.953,542.598786999999,0.1452272,20,30,10,30,0,3,900,0.296568157645055,"1","0","1","1","0","0","1",4,40.4715194702148,1.25098955292313,"High"
"Atelerix algirus",41.7294,1.8272,"Eulipotyphla",0.015679473,824.49,2555,317.900619333333,3.75,2,0.953,542.598786999999,0.1452272,20,30,10,30,0,3,900,0.296568157645055,"1","0","1","1","0","0","1",4,38.2068367004395,-4.15540287431857,"Medium"
"Atelerix algirus",36.455497,4.536394,"Eulipotyphla",1.032748709,824.49,2555,317.900619333333,3.75,2,0.953,542.598786999999,0.1452272,20,30,10,30,0,3,900,0.296568157645055,"1","0","1","1","0","0","1",4,47.7842292785645,0.0322238972334375,"High"
"Atelerix algirus",36.197974,3.441961,"Eulipotyphla",0.056759058,824.49,2555,317.900619333333,3.75,2,0.953,542.598786999999,0.1452272,20,30,10,30,0,3,900,0.296568157645055,"1","0","1","1","0","0","1",4,36.121768951416,-2.86894002302252,"Medium"
"Atelerix algirus",28.2916,-16.6291,"Eulipotyphla",5.135405259,824.49,2555,317.900619333333,3.75,2,0.953,542.598786999999,0.1452272,20,30,10,30,0,3,900,0.296568157645055,"1","0","1","1","0","0","1",4,3.57015109062195,1.63615876120119,"High"
"Atelerix frontalis",-6.830373,37.670589,"Eulipotyphla",0.80586688,319.06,2518.5,425.462,5.195,1.5,0.566,144.308541066667,0.1599207,20,30,10,30,0,3,1815.90816666667,0.615303757303115,"0","1","1","1","0","0","1",4,39.351245880127,-0.215836711406459,"High"
"Atelocynus microtis",-10.675567,-62.208069,"Carnivora",0.125086108,9500,4343.5,365,3.478763,1.42022733333333,3.656,9.77505026666666,9.19221033333333,0,20,80,0,0,2,3071.97743333333,1.16078336445069,"1","1","0","0","1","0","0",3,18.0498847961426,-2.07875291483773,"High"
"Atherurus macrourus",14.428868,101.368889,"Rodentia",0.041468764,2000,4948.792,449.600381133334,1.585,1.63831666666667,1.552,23.5735269666667,0.529472200000001,0,100,0,0,0,2,1910.17473333333,1.10561141448383,"1","0","1","0","0","0","0",2,13.8032693862915,-3.1828148098461,"Medium"
